title,price,house_area,land_area,date_posted,address,highway,km,type,house_area_group,land_area_group,price_per_m2,price_per_m2_group
"Дом 100,3 м² на участке 6,3 сот.",10500000.0,100.3,,23 февраля 15:31,д. Петрушино,Новокаширское шоссе,5,Дом,90-120 м²,,104685.94217347956,100k-150k
"Дом 118 м² на участке 7,5 сот.",10900000.0,118.0,,1 неделю назад,с. Речицы,Егорьевское шоссе,39,Дом,90-120 м²,,92372.8813559322,90k-100k
Дом 120 м² на участке 6 сот.,13000000.0,120.0,6.0,1 час назад,КП Бисерово-Озёрное,Горьковское шоссе,19,Дом,120-150 м²,6-9 соток,108333.33333333333,100k-150k
Дом 91 м² на участке 10 сот.,14500000.0,91.0,10.0,1 час назад,д. Соколова Пустынь,Каширское шоссе,85,Дом,90-120 м²,9-12 соток,159340.65934065933,150k-200k
Дом 248 м² на участке 6 сот.,19900000.0,248.0,6.0,7 дней назад,Старая Купавна,Горьковское шоссе,22,Дом,240-300 м²,6-9 соток,80241.93548387097,80k-90k
"Дом 99,6 м² на участке 10 сот.",5970000.0,99.6,10.0,11 декабря 2024,с. Бужаниново,Ярославское шоссе,67,Дом,90-120 м²,9-12 соток,59939.759036144584,50k-60k
"Дом 213 м² на участке 9,5 сот.",11199900.0,213.0,,1 час назад,КП Новая Европа,Рязанское шоссе,26,Дом,210-240 м²,,52581.69014084507,50k-60k
Дом 85 м² на участке 10 сот.,1650000.0,85.0,10.0,3 часа назад,СНТ Фрязево южнее пос. Фрязево,Носовихинское шоссе,41,Дом,60-90 м²,9-12 соток,19411.764705882353,10k-20k
"Дом 71,5 м² на участке 5,5 сот.",3700000.0,71.5,,3 часа назад,ДНП Солнечный Берег-2,Рогачёвское шоссе,67,Дом,60-90 м²,,51748.25174825175,50k-60k
"Дача 70 м² на участке 6,4 сот.",3799000.0,70.0,,14 марта 17:46,садовое товарищество Доброе,Ярославское шоссе,27,Дача,60-90 м²,,54271.42857142857,50k-60k
"Дом 195 м² на участке 5,9 сот.",15500000.0,195.0,,13 июня 12:06,"д. Мостовское, КП Славянские берега",Варшавское шоссе,13,Дом,180-210 м²,,79487.17948717948,70k-80k
Дом 120 м² на участке 8 сот.,6900000.0,120.0,8.0,2 июля 16:36,д. Косякино,Новорязанское шоссе,40,Дом,120-150 м²,6-9 соток,57500.0,50k-60k
"Дом 50 м² на участке 12,4 сот.",2000000.0,50.0,,Вчера,Шаховская,Новорижское шоссе,120,Дом,0-60 м²,,40000.0,40k-50k
"Дом 140 м² на участке 8,5 сот.",7500000.0,140.0,,1 час назад,Озёры,Каширское шоссе,98,Дом,120-150 м²,,53571.42857142857,50k-60k
"Дом 350 м² на участке 8,1 сот.",10500000.0,350.0,,7 мая 22:56,СНТ Транс,Пятницкое шоссе,45,Дом,300+ м²,,30000.0,30k-40k
"Дом 104,2 м² на участке 15 сот.",12250000.0,104.2,15.0,1 час назад,с. Селинское,Ленинградское шоссе,69,Дом,90-120 м²,15-17 соток,117562.38003838771,100k-150k
Дача 40 м² на участке 23 сот.,2300000.0,40.0,23.0,9 мая 15:39,дп. Пленицино,Новорижское шоссе,115,Дача,0-60 м²,17+ соток,57500.0,50k-60k
"Дом 120 м² на участке 11,5 сот.",5495000.0,120.0,,19 июня 09:58,д. Шишиморово,Минское шоссе,83,Дом,120-150 м²,,45791.666666666664,40k-50k
Дом 120 м² на участке 8 сот.,6900000.0,120.0,8.0,2 июля 16:36,д. Косякино,Новорязанское шоссе,40,Дом,120-150 м²,6-9 соток,57500.0,50k-60k
Дом 102 м² на участке 8 сот.,14800000.0,102.0,8.0,1 час назад,КП Подмосковная ривьера,Фряновское шоссе,29,Дом,90-120 м²,6-9 соток,145098.03921568627,100k-150k
"Дом 520 м² на участке 16,1 сот.",35000000.0,520.0,,2 августа 14:52,Подольск,Варшавское шоссе,17,Дом,300+ м²,,67307.69230769231,60k-70k
Дом 500 м² на участке 10 сот.,42000000.0,500.0,10.0,16 марта 2024,"д. Николо-Черкизово, коттеджный пос. Николо-Пятницкое",Пятницкое шоссе,14,Дом,300+ м²,9-12 соток,84000.0,80k-90k
"Дом 78,3 м² на участке 6 сот.",7700000.0,78.3,6.0,3 недели назад,Клин,Ленинградское шоссе,61,Дом,60-90 м²,6-9 соток,98339.7190293742,90k-100k
Дача 65 м² на участке 7 сот.,3000000.0,65.0,7.0,8 мая 16:31,садовое товарищество Луч,Новорижское шоссе,75,Дача,60-90 м²,6-9 соток,46153.846153846156,40k-50k
Коттедж 200 м² на участке 12 сот.,16000000.0,200.0,12.0,22 мая 2021,коттеджный пос. Лесницыно,Волоколамское шоссе,53,Коттедж,180-210 м²,12-15 соток,80000.0,80k-90k
"Дача 34 м² на участке 5,8 сот.",900000.0,34.0,,3 дня назад,садовое товарищество Чайка-3,Горьковское шоссе,57,Дача,0-60 м²,,26470.58823529412,20k-30k
Дом 85 м² на участке 10 сот.,1650000.0,85.0,10.0,3 часа назад,СНТ Фрязево южнее пос. Фрязево,Носовихинское шоссе,41,Дом,60-90 м²,9-12 соток,19411.764705882353,10k-20k
Дом 77 м² на участке 7 сот.,11500000.0,77.0,7.0,7 августа 18:24,д. Скурыгино,Симферопольское шоссе,44,Дом,60-90 м²,6-9 соток,149350.64935064936,100k-150k
Дом 56 м² на участке 6 сот.,4600000.0,56.0,6.0,6 декабря 2016,"рп. Обухово, СНТ Орбита",Горьковское шоссе,26,Дом,0-60 м²,6-9 соток,82142.85714285714,80k-90k
"Дом 69,7 м² на участке 9 сот.",6800000.0,69.7,9.0,9 июня 05:45,"д. Малое Саврасово, КИЗ Трубопроводчик",Новокаширское шоссе,17,Дом,60-90 м²,9-12 соток,97560.97560975609,90k-100k
Дом 180 м² на участке 6 сот.,21300000.0,180.0,6.0,4 июля 20:52,СНТ Назарьево,Рублёво-Успенское шоссе,23,Дом,180-210 м²,6-9 соток,118333.33333333333,100k-150k
Дом 150 м² на участке 10 сот.,25000000.0,150.0,10.0,1 час назад,"пгт. Малаховка, ДНТ Красная Звезда",Быковское шоссе,9,Дом,150-180 м²,9-12 соток,166666.66666666666,150k-200k
Дача 45 м² на участке 10 сот.,2350000.0,45.0,10.0,19 марта 22:27,СНТ Лесная Поляна-1,Минское шоссе,71,Дача,0-60 м²,9-12 соток,52222.22222222222,50k-60k
"Дом 134,6 м² на участке 10 сот.",6000000.0,134.6,10.0,Вчера,Воскресенск,Новорязанское шоссе,69,Дом,120-150 м²,9-12 соток,44576.52303120357,40k-50k
Дом 108 м² на участке 10 сот.,9800000.0,108.0,10.0,2 часа назад,с. Селинское,Ленинградское шоссе,69,Дом,90-120 м²,9-12 соток,90740.74074074074,90k-100k
"Дом 170 м² на участке 7,4 сот.",12999999.0,170.0,,1 час назад,НСТ Забота,Щёлковское шоссе,9,Дом,150-180 м²,,76470.58235294117,70k-80k
"Дом 350 м² на участке 8,1 сот.",10500000.0,350.0,,7 мая 22:56,СНТ Транс,Пятницкое шоссе,45,Дом,300+ м²,,30000.0,30k-40k
Дом 115 м² на участке 10 сот.,6440000.0,115.0,10.0,8 августа 13:47,с. Мышенское,Новокаширское шоссе,61,Дом,90-120 м²,9-12 соток,56000.0,50k-60k
"Дом 92,9 м² на участке 5 сот.",3500000.0,92.9,5.0,Вчера,Коломна,Новорязанское шоссе,92,Дом,90-120 м²,3-6 соток,37674.919268030135,30k-40k
"Дом 101,4 м² на участке 8,8 сот.",16000000.0,101.4,,1 неделю назад,д. Русавкино-Романово,Носовихинское шоссе,13,Дом,90-120 м²,,157790.92702169623,150k-200k
Дом 150 м² на участке 7 сот.,10500000.0,150.0,7.0,1 час назад,садовое товарищество Кредо-М,Пятницкое шоссе,18,Дом,150-180 м²,6-9 соток,70000.0,70k-80k
Дача 30 м² на участке 6 сот.,1990000.0,30.0,6.0,Вчера,СНТ Малиновка,Носовихинское шоссе,61,Дача,0-60 м²,6-9 соток,66333.33333333333,60k-70k
"Дом 100,7 м² на участке 6,5 сот.",7590000.0,100.7,,25 апреля 16:26,д. Сергово,Минское шоссе,84,Дом,90-120 м²,,75372.39324726911,70k-80k
Дом 24 м² на участке 6 сот.,2200000.0,24.0,6.0,Вчера,с. Ивановское,Новокаширское шоссе,57,Дом,0-60 м²,6-9 соток,91666.66666666667,90k-100k
Дом 231 м² на участке 7 сот.,17900000.0,231.0,7.0,8 мая 14:22,Щёлково,Щёлковское шоссе,18,Дом,210-240 м²,6-9 соток,77489.17748917748,70k-80k
Дом 248 м² на участке 6 сот.,19900000.0,248.0,6.0,7 дней назад,Старая Купавна,Горьковское шоссе,22,Дом,240-300 м²,6-9 соток,80241.93548387097,80k-90k
"Дом 195 м² на участке 5,9 сот.",15500000.0,195.0,,13 июня 12:06,"д. Мостовское, КП Славянские берега",Варшавское шоссе,13,Дом,180-210 м²,,79487.17948717948,70k-80k
Дом 163 м² на участке 6 сот.,17000000.0,163.0,6.0,9 июня 12:04,ДНП Жилино Клаб,Пятницкое шоссе,24,Дом,150-180 м²,6-9 соток,104294.47852760737,100k-150k
"Дом 110 м² на участке 4,5 сот.",13700000.0,110.0,,8 декабря 2024,Орехово-Зуево,Горьковское шоссе,73,Дом,90-120 м²,,124545.45454545454,100k-150k
"Дом 92 м² на участке 9,4 сот.",12500000.0,92.0,,3 часа назад,с. Дубки,Можайское шоссе,13,Дом,90-120 м²,,135869.5652173913,100k-150k
"Дом 144,4 м² на участке 12 сот.",10000000.0,144.4,12.0,30 июня 20:08,пос. Тархановка,Егорьевское шоссе,104,Дом,120-150 м²,12-15 соток,69252.07756232687,60k-70k
Коттедж 192 м² на участке 6 сот.,10990000.0,192.0,6.0,4 июля 2023,д. Сатино-Русское,Калужское шоссе,27,Коттедж,180-210 м²,6-9 соток,57239.583333333336,50k-60k
Дом 85 м² на участке 10 сот.,3950000.0,85.0,10.0,29 сентября 2023,коттеджный пос. Затесово,Новорижское шоссе,112,Дом,60-90 м²,9-12 соток,46470.58823529412,40k-50k
Дом 80 м² на участке 6 сот.,2200000.0,80.0,6.0,3 дня назад,СНТ Кругозор,Ярославское шоссе,64,Дом,60-90 м²,6-9 соток,27500.0,20k-30k
Дом 72 м² на участке 8 сот.,2500000.0,72.0,8.0,Вчера,СНТ Энтузиаст,Носовихинское шоссе,32,Дом,60-90 м²,6-9 соток,34722.22222222222,30k-40k
Коттедж 235 м² на участке 7 сот.,54900000.0,235.0,7.0,5 ноября 2020,д. Чесноково,Минское шоссе,21,Коттедж,210-240 м²,6-9 соток,233617.02127659574,200k-250k
"Дом 48,7 м² на участке 7,8 сот.",4849000.0,48.7,,31 июля 22:21,СНТ Лесная Поляна-66,Можайское шоссе,49,Дом,0-60 м²,,99568.78850102669,90k-100k
Дача 19 м² на участке 6 сот.,2450000.0,19.0,6.0,3 дня назад,Наро-Фоминск,Киевское шоссе,58,Дача,0-60 м²,6-9 соток,128947.36842105263,100k-150k
Дом 65 м² на участке 15 сот.,2900000.0,65.0,15.0,11 марта 13:44,садоводческое некоммерческое товарищество Мечта,Минское шоссе,101,Дом,60-90 м²,15-17 соток,44615.38461538462,40k-50k
"Дом 171,6 м² на участке 5,1 сот.",33500000.0,171.6,,17 июня 20:25,"пос. Газопровод, КП Радужный",Калужское шоссе,3,Дом,150-180 м²,,195221.44522144523,150k-200k
Коттедж 508 м² на участке 15 сот.,47000000.0,508.0,15.0,29 января 10:07,пгт. Малаховка,Быковское шоссе,10,Коттедж,300+ м²,15-17 соток,92519.68503937007,90k-100k
Дом 57 м² на участке 12 сот.,3500000.0,57.0,12.0,29 июля 20:37,садовое товарищество Агат,Дмитровское шоссе,77,Дом,0-60 м²,12-15 соток,61403.508771929824,60k-70k
"Дом 96 м² на участке 6,2 сот.",12500000.0,96.0,,1 ноября 2024,Волоколамск,Новорижское шоссе,94,Дом,90-120 м²,,130208.33333333333,100k-150k
"Коттедж 121,3 м² на участке 2,2 сот.",11500000.0,121.3,,20 ноября 2024,коттеджный пос. Лесной Вип,Щёлковское шоссе,8,Коттедж,120-150 м²,,94806.26545754328,90k-100k
