title,price,house_area,land_area,date_posted,address,highway,km,type,house_area_group,land_area_group,price_per_m2,price_per_m2_group
"Дом 71,7 м² на участке 5 сот.",2100000.0,71.7,5.0,24 мая 22:09,д. Курово,Волоколамское шоссе,53,Дом,60-90 м²,3-6 соток,29288.70292887029,20k-30k
Дом 75 м² на участке 6 сот.,4200000.0,75.0,6.0,6 ноября 2024,СНТ Ветеран-ЦАО,Носовихинское шоссе,32,Дом,60-90 м²,6-9 соток,56000.0,50k-60k
Дом 65 м² на участке 6 сот.,1990000.0,65.0,6.0,26 марта 2024,д. Головеньки,Минское шоссе,52,Дом,60-90 м²,6-9 соток,30615.384615384617,30k-40k
Дом 80 м² на участке 20 сот.,3000000.0,80.0,20.0,5 августа 18:59,д. Чирково,Новокаширское шоссе,53,Дом,60-90 м²,17+ соток,37500.0,30k-40k
Коттедж 110 м² на участке 10 сот.,9500000.0,110.0,10.0,3 недели назад,пос. Лунёво,Ленинградское шоссе,14,Коттедж,90-120 м²,9-12 соток,86363.63636363637,80k-90k
"Дом 160 м² на участке 7,5 сот.",8500000.0,160.0,,4 июля 19:33,дп. Парус,Киевское шоссе,58,Дом,150-180 м²,,53125.0,50k-60k
Дом 120 м² на участке 5 сот.,5345000.0,120.0,5.0,17 декабря 2024,с. Шарапово,Симферопольское шоссе,50,Дом,120-150 м²,3-6 соток,44541.666666666664,40k-50k
Дом 111 м² на участке 3 сот.,12350000.0,111.0,3.0,7 дней назад,с. Анискино,Щёлковское шоссе,20,Дом,90-120 м²,3-6 соток,111261.26126126126,100k-150k
Дом 147 м² на участке 14 сот.,5999999.0,147.0,14.0,7 апреля 12:51,СНТ Плужково,Симферопольское шоссе,46,Дом,120-150 м²,12-15 соток,40816.319727891154,40k-50k
Коттедж 120 м² на участке 10 сот.,5500000.0,120.0,10.0,22 апреля 10:20,дачное некоммерческое партнёрство Можайское Раздолье,Минское шоссе,78,Коттедж,120-150 м²,9-12 соток,45833.333333333336,40k-50k
Дом 110 м² на участке 5 сот.,20000000.0,110.0,5.0,3 недели назад,с. Вороново,Калужское шоссе,38,Дом,90-120 м²,3-6 соток,181818.18181818182,150k-200k
"Дача 37 м² на участке 6,1 сот.",3300000.0,37.0,,1 неделю назад,СНТ Тэповец,Носовихинское шоссе,32,Дача,0-60 м²,,89189.18918918919,80k-90k
"Дом 154,4 м² на участке 15 сот.",3300000.0,154.4,15.0,7 июля 18:11,садоводческое некоммерческое товарищество Энергия,Минское шоссе,96,Дом,150-180 м²,15-17 соток,21373.056994818653,20k-30k
Коттедж 380 м² на участке 18 сот.,345000000.0,380.0,18.0,17 апреля 14:49,КП Маслово парк,Ильинское шоссе,20,Коттедж,300+ м²,17+ соток,907894.7368421053,300k+
Дача 66 м² на участке 7 сот.,2390000.0,66.0,7.0,31 мая 11:11,"Краснозаводск, СНТ Зелёный",Ярославское шоссе,70,Дача,60-90 м²,6-9 соток,36212.121212121216,30k-40k
"Дом 194 м² на участке 8,8 сот.",19800000.0,194.0,,7 дней назад,Красногорск,Волоколамское шоссе,10,Дом,180-210 м²,,102061.85567010309,100k-150k
Дом 95 м² на участке 5 сот.,3645000.0,95.0,5.0,5 часов назад,д. Дулово,Симферопольское шоссе,48,Дом,90-120 м²,3-6 соток,38368.42105263158,30k-40k
Дом 166 м² на участке 10 сот.,12000000.0,166.0,10.0,6 июня 14:11,коттеджный пос. Шелестово,Волоколамское шоссе,42,Дом,150-180 м²,9-12 соток,72289.15662650602,70k-80k
Дом 90 м² на участке 12 сот.,2700000.0,90.0,12.0,18 июня 2024,д. Збышки,Минское шоссе,93,Дом,90-120 м²,12-15 соток,30000.0,30k-40k
Дом 93 м² на участке 6 сот.,4850000.0,93.0,6.0,31 июля 19:08,с. Михалёво,Егорьевское шоссе,45,Дом,90-120 м²,6-9 соток,52150.5376344086,50k-60k
"Дом 72 м² на участке 6,5 сот.",4300000.0,72.0,,31 июля 19:20,с. Карпово,Егорьевское шоссе,47,Дом,60-90 м²,,59722.22222222222,50k-60k
"Дом 100 м² на участке 11,6 сот.",4499000.0,100.0,,22 июня 20:25,садовое товарищество Романтика,Киевское шоссе,63,Дом,90-120 м²,,44990.0,40k-50k
"Дом 70 м² на участке 8,8 сот.",3500000.0,70.0,,24 июня 21:08,СНТ Пружонка,Щёлковское шоссе,36,Дом,60-90 м²,,50000.0,50k-60k
Дача 20 м² на участке 6 сот.,700000.0,20.0,6.0,2 недели назад,садоводческое некоммерческое товарищество Электрон,Ярославское шоссе,58,Дача,0-60 м²,6-9 соток,35000.0,30k-40k
"Дом 200 м² на участке 7,4 сот.",12500000.0,200.0,,14 мая 19:13,с. Зелёная Слобода,Новорязанское шоссе,17,Дом,180-210 м²,,62500.0,60k-70k
"Дом 71,7 м² на участке 5 сот.",2100000.0,71.7,5.0,24 мая 22:09,д. Курово,Волоколамское шоссе,53,Дом,60-90 м²,3-6 соток,29288.70292887029,20k-30k
Дом 75 м² на участке 6 сот.,4200000.0,75.0,6.0,6 ноября 2024,СНТ Ветеран-ЦАО,Носовихинское шоссе,32,Дом,60-90 м²,6-9 соток,56000.0,50k-60k
Дом 65 м² на участке 6 сот.,1990000.0,65.0,6.0,26 марта 2024,д. Головеньки,Минское шоссе,52,Дом,60-90 м²,6-9 соток,30615.384615384617,30k-40k
Дом 80 м² на участке 20 сот.,3000000.0,80.0,20.0,5 августа 18:59,д. Чирково,Новокаширское шоссе,53,Дом,60-90 м²,17+ соток,37500.0,30k-40k
Коттедж 110 м² на участке 10 сот.,9500000.0,110.0,10.0,3 недели назад,пос. Лунёво,Ленинградское шоссе,14,Коттедж,90-120 м²,9-12 соток,86363.63636363637,80k-90k
"Дом 160 м² на участке 7,5 сот.",8500000.0,160.0,,4 июля 19:33,дп. Парус,Киевское шоссе,58,Дом,150-180 м²,,53125.0,50k-60k
Дом 120 м² на участке 5 сот.,5345000.0,120.0,5.0,17 декабря 2024,с. Шарапово,Симферопольское шоссе,50,Дом,120-150 м²,3-6 соток,44541.666666666664,40k-50k
Дом 111 м² на участке 3 сот.,12350000.0,111.0,3.0,7 дней назад,с. Анискино,Щёлковское шоссе,20,Дом,90-120 м²,3-6 соток,111261.26126126126,100k-150k
Дом 147 м² на участке 14 сот.,5999999.0,147.0,14.0,7 апреля 12:51,СНТ Плужково,Симферопольское шоссе,46,Дом,120-150 м²,12-15 соток,40816.319727891154,40k-50k
Коттедж 120 м² на участке 10 сот.,5500000.0,120.0,10.0,22 апреля 10:20,дачное некоммерческое партнёрство Можайское Раздолье,Минское шоссе,78,Коттедж,120-150 м²,9-12 соток,45833.333333333336,40k-50k
Дом 110 м² на участке 5 сот.,20000000.0,110.0,5.0,3 недели назад,с. Вороново,Калужское шоссе,38,Дом,90-120 м²,3-6 соток,181818.18181818182,150k-200k
"Дача 37 м² на участке 6,1 сот.",3300000.0,37.0,,1 неделю назад,СНТ Тэповец,Носовихинское шоссе,32,Дача,0-60 м²,,89189.18918918919,80k-90k
"Дом 154,4 м² на участке 15 сот.",3300000.0,154.4,15.0,7 июля 18:11,садоводческое некоммерческое товарищество Энергия,Минское шоссе,96,Дом,150-180 м²,15-17 соток,21373.056994818653,20k-30k
Коттедж 380 м² на участке 18 сот.,345000000.0,380.0,18.0,17 апреля 14:49,КП Маслово парк,Ильинское шоссе,20,Коттедж,300+ м²,17+ соток,907894.7368421053,300k+
Дача 66 м² на участке 7 сот.,2390000.0,66.0,7.0,31 мая 11:11,"Краснозаводск, СНТ Зелёный",Ярославское шоссе,70,Дача,60-90 м²,6-9 соток,36212.121212121216,30k-40k
"Дом 194 м² на участке 8,8 сот.",19800000.0,194.0,,7 дней назад,Красногорск,Волоколамское шоссе,10,Дом,180-210 м²,,102061.85567010309,100k-150k
Дом 95 м² на участке 5 сот.,3645000.0,95.0,5.0,5 часов назад,д. Дулово,Симферопольское шоссе,48,Дом,90-120 м²,3-6 соток,38368.42105263158,30k-40k
Дом 166 м² на участке 10 сот.,12000000.0,166.0,10.0,6 июня 14:11,коттеджный пос. Шелестово,Волоколамское шоссе,42,Дом,150-180 м²,9-12 соток,72289.15662650602,70k-80k
Дом 90 м² на участке 12 сот.,2700000.0,90.0,12.0,18 июня 2024,д. Збышки,Минское шоссе,93,Дом,90-120 м²,12-15 соток,30000.0,30k-40k
Дом 170 м² на участке 8 сот.,6750000.0,170.0,8.0,7 июля 13:13,СНТ Пружонка,Щёлковское шоссе,36,Дом,150-180 м²,6-9 соток,39705.882352941175,30k-40k
Коттедж 160 м² на участке 6 сот.,8200000.0,160.0,6.0,16 июля 18:14,д. Протасово,Фряновское шоссе,35,Коттедж,150-180 м²,6-9 соток,51250.0,50k-60k
Дом 103 м² на участке 10 сот.,11500000.0,103.0,10.0,10 марта 11:47,д. Чепелёво,Симферопольское шоссе,44,Дом,90-120 м²,9-12 соток,111650.4854368932,100k-150k
"Дом 102,9 м² на участке 18,8 сот.",3700000.0,102.9,,10 июля 2024,д. Денисово,Ленинградское шоссе,61,Дом,90-120 м²,,35957.24003887269,30k-40k
Дом 85 м² на участке 4 сот.,4445000.0,85.0,4.0,1 апреля 16:24,с. Петровское,Фряновское шоссе,38,Дом,60-90 м²,3-6 соток,52294.117647058825,50k-60k
Дом 136 м² на участке 10 сот.,6490000.0,136.0,10.0,3 дня назад,КП Изумрудный,Дмитровское шоссе,43,Дом,120-150 м²,9-12 соток,47720.58823529412,40k-50k
Дом 133 м² на участке 7 сот.,6150000.0,133.0,7.0,6 февраля 16:16,д. Костомарово,Симферопольское шоссе,43,Дом,120-150 м²,6-9 соток,46240.6015037594,40k-50k
Дом 66 м² на участке 10 сот.,4200000.0,66.0,10.0,3 недели назад,"с. Федосьино, коттеджный пос. Прибрежный парк",Новорязанское шоссе,70,Дом,60-90 м²,9-12 соток,63636.36363636364,60k-70k
"Дом 99,5 м² на участке 7,5 сот.",5850000.0,99.5,,6 декабря 2024,с. Ильинское,Новорязанское шоссе,28,Дом,90-120 м²,,58793.969849246234,50k-60k
Коттедж 130 м² на участке 5 сот.,15500000.0,130.0,5.0,15 октября 2023,Домодедово,Новокаширское шоссе,23,Коттедж,120-150 м²,3-6 соток,119230.76923076923,100k-150k
"Дом 59,9 м² на участке 12,4 сот.",4000000.0,59.9,,6 часов назад,пос. Пески,Новорязанское шоссе,77,Дом,0-60 м²,,66777.9632721202,60k-70k
"Дом 138 м² на участке 6,5 сот.",13200000.0,138.0,,16 мая 11:08,"Домодедово, КП Кузьминский",Новокаширское шоссе,38,Дом,120-150 м²,,95652.17391304347,90k-100k
"Дом 136,8 м² на участке 7,5 сот.",10700000.0,136.8,,19 декабря 2022,с. Никитское,Новокаширское шоссе,18,Дом,120-150 м²,,78216.37426900584,70k-80k
"Дом 181,1 м² на участке 6,3 сот.",7500000.0,181.1,,8 июля 11:17,пгт. Быково,Быковское шоссе,16,Дом,180-210 м²,,41413.58365543898,40k-50k
"Дом 85,5 м² на участке 6,1 сот.",7900000.0,85.5,,7 часов назад,КП Ушаковъ,Волоколамское шоссе,42,Дом,60-90 м²,,92397.66081871346,90k-100k
Коттедж 115 м² на участке 15 сот.,9900000.0,115.0,15.0,25 ноября 2023,д. Бужарово,Волоколамское шоссе,40,Коттедж,90-120 м²,15-17 соток,86086.95652173914,80k-90k
"Дом 100 м² на участке 6,9 сот.",5490000.0,100.0,,7 дней назад,Луховицы,Новорязанское шоссе,108,Дом,90-120 м²,,54900.0,50k-60k
"Дом 80,2 м² на участке 5,2 сот.",7700000.0,80.2,,4 августа 19:15,"д. Ильинское, коттеджный пос. Фаворит",Новокаширское шоссе,26,Дом,60-90 м²,,96009.97506234414,90k-100k
Дом 154 м² на участке 7 сот.,11999000.0,154.0,7.0,9 августа 10:40,д. Еремеево,Пятницкое шоссе,26,Дом,150-180 м²,6-9 соток,77915.58441558441,70k-80k
Дом 95 м² на участке 5 сот.,5545000.0,95.0,5.0,1 неделю назад,д. Брехово,Можайское шоссе,35,Дом,90-120 м²,3-6 соток,58368.42105263158,50k-60k
"Дом 118,4 м² на участке 7,4 сот.",16500000.0,118.4,,3 дня назад,СНТ Дубрава,Пятницкое шоссе,25,Дом,90-120 м²,,139358.1081081081,100k-150k
Дом 160 м² на участке 8 сот.,6500000.0,160.0,8.0,18 июня 14:01,СНТ коттеджный пос. Никольское,Киевское шоссе,65,Дом,150-180 м²,6-9 соток,40625.0,40k-50k
"Дом 170 м² на участке 6,3 сот.",14400000.0,170.0,,17 сентября 2024,д. Титово,Новорязанское шоссе,13,Дом,150-180 м²,,84705.88235294117,80k-90k
Дом 170 м² на участке 6 сот.,18999000.0,170.0,6.0,3 часа назад,дп. Кокошкино,Боровское шоссе,18,Дом,150-180 м²,6-9 соток,111758.82352941176,100k-150k
"Дом 42,6 м² на участке 30 сот.",1230000.0,42.6,30.0,7 июня 12:39,д. Большое Ильинское,Каширское шоссе,110,Дом,0-60 м²,17+ соток,28873.23943661972,20k-30k
Дом 36 м² на участке 6 сот.,2500000.0,36.0,6.0,10 апреля 13:36,КП Лисицыны лужки,Егорьевское шоссе,40,Дом,0-60 м²,6-9 соток,69444.44444444444,60k-70k
"Дом 72 м² на участке 6,5 сот.",4300000.0,72.0,,31 июля 19:20,с. Карпово,Егорьевское шоссе,47,Дом,60-90 м²,,59722.22222222222,50k-60k
"Дом 100 м² на участке 11,6 сот.",4499000.0,100.0,,22 июня 20:25,садовое товарищество Романтика,Киевское шоссе,63,Дом,90-120 м²,,44990.0,40k-50k
"Дом 70 м² на участке 8,8 сот.",3500000.0,70.0,,24 июня 21:08,СНТ Пружонка,Щёлковское шоссе,36,Дом,60-90 м²,,50000.0,50k-60k
Дача 20 м² на участке 6 сот.,700000.0,20.0,6.0,2 недели назад,садоводческое некоммерческое товарищество Электрон,Ярославское шоссе,58,Дача,0-60 м²,6-9 соток,35000.0,30k-40k
"Дом 200 м² на участке 7,4 сот.",12500000.0,200.0,,14 мая 19:13,с. Зелёная Слобода,Новорязанское шоссе,17,Дом,180-210 м²,,62500.0,60k-70k
"Дом 71,7 м² на участке 5 сот.",2100000.0,71.7,5.0,24 мая 22:09,д. Курово,Волоколамское шоссе,53,Дом,60-90 м²,3-6 соток,29288.70292887029,20k-30k
Дом 75 м² на участке 6 сот.,4200000.0,75.0,6.0,6 ноября 2024,СНТ Ветеран-ЦАО,Носовихинское шоссе,32,Дом,60-90 м²,6-9 соток,56000.0,50k-60k
Дом 65 м² на участке 6 сот.,1990000.0,65.0,6.0,26 марта 2024,д. Головеньки,Минское шоссе,52,Дом,60-90 м²,6-9 соток,30615.384615384617,30k-40k
Дом 80 м² на участке 20 сот.,3000000.0,80.0,20.0,5 августа 18:59,д. Чирково,Новокаширское шоссе,53,Дом,60-90 м²,17+ соток,37500.0,30k-40k
Коттедж 110 м² на участке 10 сот.,9500000.0,110.0,10.0,3 недели назад,пос. Лунёво,Ленинградское шоссе,14,Коттедж,90-120 м²,9-12 соток,86363.63636363637,80k-90k
"Дом 160 м² на участке 7,5 сот.",8500000.0,160.0,,4 июля 19:33,дп. Парус,Киевское шоссе,58,Дом,150-180 м²,,53125.0,50k-60k
Дом 120 м² на участке 5 сот.,5345000.0,120.0,5.0,17 декабря 2024,с. Шарапово,Симферопольское шоссе,50,Дом,120-150 м²,3-6 соток,44541.666666666664,40k-50k
Дом 111 м² на участке 3 сот.,12350000.0,111.0,3.0,7 дней назад,с. Анискино,Щёлковское шоссе,20,Дом,90-120 м²,3-6 соток,111261.26126126126,100k-150k
Дом 147 м² на участке 14 сот.,5999999.0,147.0,14.0,7 апреля 12:51,СНТ Плужково,Симферопольское шоссе,46,Дом,120-150 м²,12-15 соток,40816.319727891154,40k-50k
Коттедж 120 м² на участке 10 сот.,5500000.0,120.0,10.0,22 апреля 10:20,дачное некоммерческое партнёрство Можайское Раздолье,Минское шоссе,78,Коттедж,120-150 м²,9-12 соток,45833.333333333336,40k-50k
Дом 110 м² на участке 5 сот.,20000000.0,110.0,5.0,3 недели назад,с. Вороново,Калужское шоссе,38,Дом,90-120 м²,3-6 соток,181818.18181818182,150k-200k
"Дача 37 м² на участке 6,1 сот.",3300000.0,37.0,,1 неделю назад,СНТ Тэповец,Носовихинское шоссе,32,Дача,0-60 м²,,89189.18918918919,80k-90k
"Дом 154,4 м² на участке 15 сот.",3300000.0,154.4,15.0,7 июля 18:11,садоводческое некоммерческое товарищество Энергия,Минское шоссе,96,Дом,150-180 м²,15-17 соток,21373.056994818653,20k-30k
Коттедж 380 м² на участке 18 сот.,345000000.0,380.0,18.0,17 апреля 14:49,КП Маслово парк,Ильинское шоссе,20,Коттедж,300+ м²,17+ соток,907894.7368421053,300k+
Дача 66 м² на участке 7 сот.,2390000.0,66.0,7.0,31 мая 11:11,"Краснозаводск, СНТ Зелёный",Ярославское шоссе,70,Дача,60-90 м²,6-9 соток,36212.121212121216,30k-40k
"Дом 194 м² на участке 8,8 сот.",19800000.0,194.0,,7 дней назад,Красногорск,Волоколамское шоссе,10,Дом,180-210 м²,,102061.85567010309,100k-150k
Дом 95 м² на участке 5 сот.,3645000.0,95.0,5.0,5 часов назад,д. Дулово,Симферопольское шоссе,48,Дом,90-120 м²,3-6 соток,38368.42105263158,30k-40k
Дом 166 м² на участке 10 сот.,12000000.0,166.0,10.0,6 июня 14:11,коттеджный пос. Шелестово,Волоколамское шоссе,42,Дом,150-180 м²,9-12 соток,72289.15662650602,70k-80k
Дом 90 м² на участке 12 сот.,2700000.0,90.0,12.0,18 июня 2024,д. Збышки,Минское шоссе,93,Дом,90-120 м²,12-15 соток,30000.0,30k-40k
"Дом 260 м² на участке 6,6 сот.",29990000.0,260.0,,30 июля 2024,СНТ Красногорочка,Куркинское шоссе,3,Дом,240-300 м²,,115346.15384615384,100k-150k
Коттедж 160 м² на участке 6 сот.,8200000.0,160.0,6.0,16 июля 18:14,д. Протасово,Фряновское шоссе,35,Коттедж,150-180 м²,6-9 соток,51250.0,50k-60k
Дом 103 м² на участке 10 сот.,11500000.0,103.0,10.0,10 марта 11:47,д. Чепелёво,Симферопольское шоссе,44,Дом,90-120 м²,9-12 соток,111650.4854368932,100k-150k
"Дом 102,9 м² на участке 18,8 сот.",3700000.0,102.9,,10 июля 2024,д. Денисово,Ленинградское шоссе,61,Дом,90-120 м²,,35957.24003887269,30k-40k
Дом 85 м² на участке 4 сот.,4445000.0,85.0,4.0,1 апреля 16:24,с. Петровское,Фряновское шоссе,38,Дом,60-90 м²,3-6 соток,52294.117647058825,50k-60k
Дом 136 м² на участке 10 сот.,6490000.0,136.0,10.0,3 дня назад,КП Изумрудный,Дмитровское шоссе,43,Дом,120-150 м²,9-12 соток,47720.58823529412,40k-50k
Дом 133 м² на участке 7 сот.,6150000.0,133.0,7.0,6 февраля 16:16,д. Костомарово,Симферопольское шоссе,43,Дом,120-150 м²,6-9 соток,46240.6015037594,40k-50k
Дом 66 м² на участке 10 сот.,4200000.0,66.0,10.0,3 недели назад,"с. Федосьино, коттеджный пос. Прибрежный парк",Новорязанское шоссе,70,Дом,60-90 м²,9-12 соток,63636.36363636364,60k-70k
"Дом 99,5 м² на участке 7,5 сот.",5850000.0,99.5,,6 декабря 2024,с. Ильинское,Новорязанское шоссе,28,Дом,90-120 м²,,58793.969849246234,50k-60k
Коттедж 130 м² на участке 5 сот.,15500000.0,130.0,5.0,15 октября 2023,Домодедово,Новокаширское шоссе,23,Коттедж,120-150 м²,3-6 соток,119230.76923076923,100k-150k
"Дом 59,9 м² на участке 12,4 сот.",4000000.0,59.9,,6 часов назад,пос. Пески,Новорязанское шоссе,77,Дом,0-60 м²,,66777.9632721202,60k-70k
"Дом 138 м² на участке 6,5 сот.",13200000.0,138.0,,16 мая 11:08,"Домодедово, КП Кузьминский",Новокаширское шоссе,38,Дом,120-150 м²,,95652.17391304347,90k-100k
"Дом 136,8 м² на участке 7,5 сот.",10700000.0,136.8,,19 декабря 2022,с. Никитское,Новокаширское шоссе,18,Дом,120-150 м²,,78216.37426900584,70k-80k
"Дом 181,1 м² на участке 6,3 сот.",7500000.0,181.1,,8 июля 11:17,пгт. Быково,Быковское шоссе,16,Дом,180-210 м²,,41413.58365543898,40k-50k
"Дом 85,5 м² на участке 6,1 сот.",7900000.0,85.5,,7 часов назад,КП Ушаковъ,Волоколамское шоссе,42,Дом,60-90 м²,,92397.66081871346,90k-100k
Коттедж 115 м² на участке 15 сот.,9900000.0,115.0,15.0,25 ноября 2023,д. Бужарово,Волоколамское шоссе,40,Коттедж,90-120 м²,15-17 соток,86086.95652173914,80k-90k
"Дом 100 м² на участке 6,9 сот.",5490000.0,100.0,,7 дней назад,Луховицы,Новорязанское шоссе,108,Дом,90-120 м²,,54900.0,50k-60k
"Дом 94,4 м² на участке 7,2 сот.",7500000.0,94.4,,30 апреля 22:50,пгт. Удельная,Быковское шоссе,14,Дом,90-120 м²,,79449.15254237287,70k-80k
Дом 154 м² на участке 7 сот.,11999000.0,154.0,7.0,9 августа 10:40,д. Еремеево,Пятницкое шоссе,26,Дом,150-180 м²,6-9 соток,77915.58441558441,70k-80k
Дом 95 м² на участке 5 сот.,5545000.0,95.0,5.0,1 неделю назад,д. Брехово,Можайское шоссе,35,Дом,90-120 м²,3-6 соток,58368.42105263158,50k-60k
"Дом 118,4 м² на участке 7,4 сот.",16500000.0,118.4,,3 дня назад,СНТ Дубрава,Пятницкое шоссе,25,Дом,90-120 м²,,139358.1081081081,100k-150k
Дом 160 м² на участке 8 сот.,6500000.0,160.0,8.0,18 июня 14:01,СНТ коттеджный пос. Никольское,Киевское шоссе,65,Дом,150-180 м²,6-9 соток,40625.0,40k-50k
Дом 170 м² на участке 6 сот.,18999000.0,170.0,6.0,3 часа назад,дп. Кокошкино,Боровское шоссе,18,Дом,150-180 м²,6-9 соток,111758.82352941176,100k-150k
"Дом 42,6 м² на участке 30 сот.",1230000.0,42.6,30.0,7 июня 12:39,д. Большое Ильинское,Каширское шоссе,110,Дом,0-60 м²,17+ соток,28873.23943661972,20k-30k
"Дом 226,9 м² на участке 20,2 сот.",29000000.0,226.9,,8 июля 17:03,"д. Куртниково, КИЗ Борисоглебский-3",Волоколамское шоссе,48,Дом,210-240 м²,,127809.60775672102,100k-150k
Дом 111 м² на участке 3 сот.,12350000.0,111.0,3.0,7 дней назад,с. Анискино,Щёлковское шоссе,20,Дом,90-120 м²,3-6 соток,111261.26126126126,100k-150k
Дом 147 м² на участке 14 сот.,5999999.0,147.0,14.0,7 апреля 12:51,СНТ Плужково,Симферопольское шоссе,46,Дом,120-150 м²,12-15 соток,40816.319727891154,40k-50k
Коттедж 120 м² на участке 10 сот.,5500000.0,120.0,10.0,22 апреля 10:20,дачное некоммерческое партнёрство Можайское Раздолье,Минское шоссе,78,Коттедж,120-150 м²,9-12 соток,45833.333333333336,40k-50k
Дом 110 м² на участке 5 сот.,20000000.0,110.0,5.0,3 недели назад,с. Вороново,Калужское шоссе,38,Дом,90-120 м²,3-6 соток,181818.18181818182,150k-200k
"Дача 37 м² на участке 6,1 сот.",3300000.0,37.0,,1 неделю назад,СНТ Тэповец,Носовихинское шоссе,32,Дача,0-60 м²,,89189.18918918919,80k-90k
"Дом 154,4 м² на участке 15 сот.",3300000.0,154.4,15.0,7 июля 18:11,садоводческое некоммерческое товарищество Энергия,Минское шоссе,96,Дом,150-180 м²,15-17 соток,21373.056994818653,20k-30k
Коттедж 380 м² на участке 18 сот.,345000000.0,380.0,18.0,17 апреля 14:49,КП Маслово парк,Ильинское шоссе,20,Коттедж,300+ м²,17+ соток,907894.7368421053,300k+
Дача 66 м² на участке 7 сот.,2390000.0,66.0,7.0,31 мая 11:11,"Краснозаводск, СНТ Зелёный",Ярославское шоссе,70,Дача,60-90 м²,6-9 соток,36212.121212121216,30k-40k
"Дом 194 м² на участке 8,8 сот.",19800000.0,194.0,,7 дней назад,Красногорск,Волоколамское шоссе,10,Дом,180-210 м²,,102061.85567010309,100k-150k
Дом 95 м² на участке 5 сот.,3645000.0,95.0,5.0,5 часов назад,д. Дулово,Симферопольское шоссе,48,Дом,90-120 м²,3-6 соток,38368.42105263158,30k-40k
Дом 166 м² на участке 10 сот.,12000000.0,166.0,10.0,6 июня 14:11,коттеджный пос. Шелестово,Волоколамское шоссе,42,Дом,150-180 м²,9-12 соток,72289.15662650602,70k-80k
Дом 90 м² на участке 12 сот.,2700000.0,90.0,12.0,18 июня 2024,д. Збышки,Минское шоссе,93,Дом,90-120 м²,12-15 соток,30000.0,30k-40k
"Дом 260 м² на участке 6,6 сот.",29990000.0,260.0,,30 июля 2024,СНТ Красногорочка,Куркинское шоссе,3,Дом,240-300 м²,,115346.15384615384,100k-150k
Коттедж 160 м² на участке 6 сот.,8200000.0,160.0,6.0,16 июля 18:14,д. Протасово,Фряновское шоссе,35,Коттедж,150-180 м²,6-9 соток,51250.0,50k-60k
Дом 103 м² на участке 10 сот.,11500000.0,103.0,10.0,10 марта 11:47,д. Чепелёво,Симферопольское шоссе,44,Дом,90-120 м²,9-12 соток,111650.4854368932,100k-150k
"Дом 102,9 м² на участке 18,8 сот.",3700000.0,102.9,,10 июля 2024,д. Денисово,Ленинградское шоссе,61,Дом,90-120 м²,,35957.24003887269,30k-40k
Дом 85 м² на участке 4 сот.,4445000.0,85.0,4.0,1 апреля 16:24,с. Петровское,Фряновское шоссе,38,Дом,60-90 м²,3-6 соток,52294.117647058825,50k-60k
Дом 136 м² на участке 10 сот.,6490000.0,136.0,10.0,3 дня назад,КП Изумрудный,Дмитровское шоссе,43,Дом,120-150 м²,9-12 соток,47720.58823529412,40k-50k
Дом 133 м² на участке 7 сот.,6150000.0,133.0,7.0,6 февраля 16:16,д. Костомарово,Симферопольское шоссе,43,Дом,120-150 м²,6-9 соток,46240.6015037594,40k-50k
Дом 66 м² на участке 10 сот.,4200000.0,66.0,10.0,3 недели назад,"с. Федосьино, коттеджный пос. Прибрежный парк",Новорязанское шоссе,70,Дом,60-90 м²,9-12 соток,63636.36363636364,60k-70k
"Дом 99,5 м² на участке 7,5 сот.",5850000.0,99.5,,6 декабря 2024,с. Ильинское,Новорязанское шоссе,28,Дом,90-120 м²,,58793.969849246234,50k-60k
Коттедж 130 м² на участке 5 сот.,15500000.0,130.0,5.0,15 октября 2023,Домодедово,Новокаширское шоссе,23,Коттедж,120-150 м²,3-6 соток,119230.76923076923,100k-150k
"Дом 59,9 м² на участке 12,4 сот.",4000000.0,59.9,,7 часов назад,пос. Пески,Новорязанское шоссе,77,Дом,0-60 м²,,66777.9632721202,60k-70k
"Дом 138 м² на участке 6,5 сот.",13200000.0,138.0,,16 мая 11:08,"Домодедово, КП Кузьминский",Новокаширское шоссе,38,Дом,120-150 м²,,95652.17391304347,90k-100k
"Дом 136,8 м² на участке 7,5 сот.",10700000.0,136.8,,19 декабря 2022,с. Никитское,Новокаширское шоссе,18,Дом,120-150 м²,,78216.37426900584,70k-80k
"Дом 181,1 м² на участке 6,3 сот.",7500000.0,181.1,,8 июля 11:17,пгт. Быково,Быковское шоссе,16,Дом,180-210 м²,,41413.58365543898,40k-50k
"Дом 85,5 м² на участке 6,1 сот.",7900000.0,85.5,,7 часов назад,КП Ушаковъ,Волоколамское шоссе,42,Дом,60-90 м²,,92397.66081871346,90k-100k
Коттедж 115 м² на участке 15 сот.,9900000.0,115.0,15.0,25 ноября 2023,д. Бужарово,Волоколамское шоссе,40,Коттедж,90-120 м²,15-17 соток,86086.95652173914,80k-90k
"Дом 100 м² на участке 6,9 сот.",5490000.0,100.0,,7 дней назад,Луховицы,Новорязанское шоссе,108,Дом,90-120 м²,,54900.0,50k-60k
"Дом 94,4 м² на участке 7,2 сот.",7500000.0,94.4,,30 апреля 22:50,пгт. Удельная,Быковское шоссе,14,Дом,90-120 м²,,79449.15254237287,70k-80k
